Turkish,English meaning,Categoy,Difficulty
Abi,Older brother,Family_Relationships,2
Abla,Older sister,Family_Relationships,2
Acaba,I wonder,Feelings_Emotions,3
Acı,Pain/ bitter/ spicy,Feelings_Emotions,2
Açık,Open,Feelings_Emotions,2
Acıkmak,To be hungry,Actions_Activities,3
Acil,Emergency,Actions_Activities,2
Açmak,To open,Actions_Activities,2
Ad,Name,Objects_Things,1
Adam,Man,Family_Relationships,3
Adet,Piece/ unit,Objects_Things,2
Adım,Step,Objects_Things,3
Adres,Address,Objects_Things,2
Ağaç,Tree,Objects_Things,2
Ağır,Heavy,Objects_Things,2
Ağız,Mouth,Objects_Things,2
Ağlamak,To cry,Feelings_Emotions,3
Aile,Family,Family_Relationships,2
Akıl,Mind,Objects_Things,2
Akıllı,Smart/ clever,Objects_Things,3
Akmak,To flow,Actions_Activities,2
Akşam,Evening,Time_Calendar,3
Alan,Area,Actions_Activities,3
Alışmak,To adjust,Actions_Activities,3
Alışveriş yapmak,To go shopping,Actions_Activities,6
Allah,God,Objects_Things,2
Almak,To take,Actions_Activities,2
Altı,Six,Numbers,2
Altın,Gold,Objects_Things,3
Altmış,Sixty,Numbers,2
Ama,But,Adjectives,2
Amaç,Purpose,Objects_Things,2
Amca,Uncle (father's brother),Family_Relationships,2
An,Moment,Time_Calendar,2
Anlam,Meaning,Family_Relationships,3
Anlamak,To understand,Actions_Activities,3
Anlaşılmak,To be understood,Actions_Activities,4
Anlatmak,To explain,Actions_Activities,3
Anne,Mother,Family_Relationships,2
Apartman,Apartment building,Places_Locations,4
Araba,Car,Objects_Things,3
Araç,Tool/ vehicle,Objects_Things,2
Aralık,December,Time_Calendar,3
Aramak,To search for/ to call (on the phone),Actions_Activities,3
Araştırmak,To research,Actions_Activities,4
Arı,Bee,Objects_Things,2
Arkadaş,Friend,Family_Relationships,3
Armut,Pear,Objects_Things,2
Artık,Anymore (these days),Actions_Activities,2
Artmak,To increase,Actions_Activities,2
Asıl,Actual,Actions_Activities,2
Aşırı,Extreme,Actions_Activities,3
Aşk,Romantic love,Feelings_Emotions,1
Asker,Soldier,Objects_Things,2
Asla,Never,Adjectives,2
Aslında,Actually,Adjectives,3
At,Horse,Objects_Things,1
Ateş,Fire,Objects_Things,2
Atlamak,To jump,Actions_Activities,3
Atmak,To throw,Actions_Activities,2
Ay,Moon/ month,Time_Calendar,1
Ayak,Foot,Objects_Things,2
Ayakkabı,Shoe,Objects_Things,4
Ayı,Bear,Objects_Things,2
Ayırmak,To separate,Actions_Activities,3
Ayna,Mirror,Objects_Things,2
Aynı,Similar,Adjectives,2
Ayrı,Separate,Adjectives,2
Ayrılmak,To be separated,Family_Relationships,3
Az,Little,Numbers,1
Baba,Dad,Family_Relationships,2
Bacak,Leg,Objects_Things,2
Bağırmak,To shout,Actions_Activities,3
Bağlamak,To tie/ to connect,Actions_Activities,3
Bahçe,Garden,Places_Locations,2
Bakan,Minister (government),Objects_Things,3
Bakış,View,Objects_Things,2
Bakmak,To look,Actions_Activities,2
Balık,Fish,Objects_Things,2
Banka,Bank,Objects_Things,2
Bant,Tape/ band/ strip,Objects_Things,1
Banyo,Bathroom (with a shower or bath),Places_Locations,2
Bardak,Glass (cup),Objects_Things,2
Barış,Peace (not at war),Objects_Things,2
Baş,Head,Objects_Things,1
Başarı,Success,Objects_Things,3
Basit,Basic/ simple,Adjectives,2
Başka,Other,Adjectives,2
Başkan,President/ chairman,Objects_Things,3
Baskı,Pressure,Objects_Things,2
Başlamak,To start,Actions_Activities,3
Basmak,To step/ to press,Actions_Activities,2
Batı,West,Time_Calendar,2
Batmak,To sink,Actions_Activities,2
Battaniye,Blanket,Objects_Things,4
Bayrak,Flag,Objects_Things,2
Bayram,Holiday,Time_Calendar,3
Bazen,Sometimes,Adjectives,3
Bazı,Some,Adjectives,2
Bebek,Baby,Family_Relationships,2
Bedava,Free,Adjectives,3
Beden,Body (or clothing size),Objects_Things,3
Beğenmek,To like,Actions_Activities,3
Bekâr,Single (not married),Family_Relationships,1
