WordID,TurkishWord,EnglishWord,Category,Difficulty
1,Abi,Older brother,1,2
2,Abla,Older sister,1,2
3,Acaba,I wonder,2,3
4,Ac?,Pain,3, spicy,Feelings_Emotions,2
5,A??k,Open,4,2
6,Ac?kmak,To be hungry,4,3
7,Acil,Emergency,4,2
8,A?mak,To open,4,2
9,Ad,Name,5,1
10,Adam,Man,1,3
11,Adet,Piece,6,Objects_Things,2
12,Ad?m,Step,5,3
13,Adres,Address,5,2
14,A_a?,Tree,5,2
15,A_?r,Heavy,5,2
16,A_?z,Mouth,5,2
17,A_lamak,To cry,2,3
18,Aile,Family,1,2
19,Ak?l,Mind,5,2
20,Ak?ll?,Smart,7,Objects_Things,3
21,Akmak,To flow,4,2
22,Ak_am,Evening,8,3
23,Alan,Area,4,3
24,Al?_mak,To adjust,4,3
25,Al?_veri_ yapmak,To go shopping,4,6
26,Allah,God,5,2
27,Almak,To take,4,2
28,Alt?,Six,9,2
29,Alt?n,Gold,5,3
30,Altm?_,Sixty,9,2
31,Ama,But,10,2
32,Ama?,Purpose,5,2
33,Amca,Uncle (father's brother),1,2
34,An,Moment,8,2
35,Anlam,Meaning,1,3
36,Anlamak,To understand,4,3
37,Anla_?lmak,To be understood,4,4
38,Anlatmak,To explain,4,3
39,Anne,Mother,1,2
40,Apartman,Apartment building,11,4
41,Araba,Car,5,3
42,Ara?,Tool,12,Objects_Things,2
43,Aral?k,December,8,3
44,Aramak,To search for,13,Actions_Activities,3
45,Ara_t?rmak,To research,4,4
46,Ar?,Bee,5,2
47,Arkada_,Friend,1,3
48,Armut,Pear,5,2
49,Art?k,Anymore (these days),4,2
50,Artmak,To increase,4,2
51,As?l,Actual,4,2
52,A_?r?,Extreme,4,3
53,A_k,Romantic love,2,1
54,Asker,Soldier,5,2
55,Asla,Never,10,2
56,Asl?nda,Actually,10,3
57,At,Horse,5,1
58,Ate_,Fire,5,2
59,Atlamak,To jump,4,3
60,Atmak,To throw,4,2
61,Ay,Moon,14,Time_Calendar,1
62,Ayak,Foot,5,2
63,Ayakkab?,Shoe,5,4
64,Ay?,Bear,5,2
65,Ay?rmak,To separate,4,3
66,Ayna,Mirror,5,2
67,Ayn?,Similar,10,2
68,Ayr?,Separate,10,2
69,Ayr?lmak,To be separated,1,3
70,Az,Little,9,1
71,Baba,Dad,1,2
72,Bacak,Leg,5,2
73,Ba_?rmak,To shout,4,3
74,Ba_lamak,To tie,15,Actions_Activities,3
75,Bah?e,Garden,11,2
76,Bakan,Minister (government),5,3
77,Bak?_,View,5,2
78,Bakmak,To look,4,2
79,Bal?k,Fish,5,2
80,Banka,Bank,5,2
81,Bant,Tape,16, strip,Objects_Things,1
82,Banyo,Bathroom (with a shower or bath),11,2
83,Bardak,Glass (cup),5,2
84,Bar?_,Peace (not at war),5,2
85,Ba_,Head,5,1
86,Ba_ar?,Success,5,3
87,Basit,Basic,17,Adjectives,2
88,Ba_ka,Other,10,2
89,Ba_kan,President,18,Objects_Things,3
90,Bask?,Pressure,5,2
91,Ba_lamak,To start,4,3
92,Basmak,To step,19,Actions_Activities,2
93,Bat?,West,8,2
94,Batmak,To sink,4,2
95,Battaniye,Blanket,5,4
96,Bayrak,Flag,5,2
97,Bayram,Holiday,8,3
98,Bazen,Sometimes,10,3
99,Baz?,Some,10,2
100,Bebek,Baby,1,2
101,Bedava,Free,10,3
102,Beden,Body (or clothing size),5,3
103,Be_enmek,To like,4,3
104,Bek?r,Single (not married),1,1
105,Beklemek,To wait,4,3
106,Bel,Waist,20,Objects_Things,1
107,Belediye,Municipality,5,4
108,Belge,Document,5,2
109,Belki,Maybe,10,2
110,Belli,Clear,21,Adjectives,2
111,Benzemek,To look like,4,3
112,Benzin,Gasoline,5,3
113,Beraber,Together,10,3
114,Be_,Five,9,1
115,Bey,Mr.,5,1
116,Beyaz,White,10,2
117,Beyin,Brain,5,3
118,Bez,Cloth (or diaper),5,1
119,B??ak,Knife,5,2
120,Bi?im,Shape,10,3
121,Bilet,Ticket,5,2
122,Bilgi,Information,5,2
123,Bilgisayar,Computer,5,4
124,Bilim,Science,5,3
125,Bilmek,To know,4,2
126,Bin,Thousand,9,2
127,Bina,Building,11,2
128,Binmek,To ride,22,Actions_Activities,2
129,Bir,One,23,1
130,B?rakmak,To leave something,4,3
131,Biraz,A little,10,2
132,Bir?ok,A lot,10,2
133,Biri,Someone,24,Question_Words,2
134,Birinci,First,10,3
135,Birisi,Someone,23,3
136,Birka?,A few,10,2
137,Birlikte,Together,10,3
138,Bitirmek,To finish (something),4,3
139,Bitki,Plant,5,2
140,Bitmek,To be finished,4,2
141,B?cek,Bug,5,2
142,Bo_az,Throat,11,2
143,B?lge,Region,11,2
144,B?lmek,To divide,4,2
145,B?l?m,Division,25,Places_Locations,3
146,Boru,Pipe,5,2
147,Bo_,Empty,10,1
148,Bo_altmak,To empty (something),4,3
149,Bo_anmak,To get divorced,4,3
150,Boy,Size,5,1
151,Boyamak,To paint,26,Actions_Activities,3
152,Boyun,Neck,5,3
153,Bozuk,Broken (stopped working),10,2
154,Bozulmak,To be broken (stop working),4,3
155,Bug?n,Today,8,3
156,Bulmak,To find,4,2
157,Bulu_mak,To meet up with,4,3
158,Burada,Here,27,Places_Locations,3
159,Buras?,This place,11,3
160,Burun,Nose,5,3
