CorrectAnswer,TimeSpent,HesitationTimes,Difficulty,Weakness
0,19.31,5,4,0
0,71.05,10,4,0
0,483.49,3,6,1
0,521.09,5,3,0
0,235.07,10,1,0
0,581.59,19,4,0
0,218.86,8,4,0
1,258.5,16,2,0
1,113.86,14,6,1
1,128.97,19,4,0
1,530.29,9,4,0
0,538.79,17,3,0
0,20.38,3,4,0
1,503.49,18,4,0
1,132.96,18,4,0
0,170.38,0,1,1
0,95.13,1,3,0
1,258.39,9,6,0
1,2.37,16,6,1
0,84.53,4,6,1
0,308.43,1,1,0
1,365.95,5,4,1
0,215.41,2,2,0
1,342.82,5,2,1
0,546.09,10,2,0
0,306.9,12,1,0
1,48.61,14,4,1
1,241.52,12,3,1
0,284.9,11,4,0
1,61.5,6,5,0
0,164.12,19,2,1
1,531.97,17,6,1
1,468.51,6,3,0
0,537.83,17,3,0
1,318.28,5,4,0
0,406.77,13,2,1
1,411.31,17,2,0
0,288.95,5,3,0
1,238.58,20,3,0
1,558.5,8,1,1
1,247.75,7,2,0
1,226.54,20,4,0
1,262.01,13,5,1
1,40.37,10,4,1
1,21.3,14,3,0
1,598.96,15,2,0
0,4.07,17,4,1
0,361.76,3,6,1
1,303.99,15,4,1
0,507.42,17,6,0
1,477.43,7,6,0
0,341.91,10,4,0
0,368.97,2,5,1
1,379.07,7,5,0
1,473.69,3,6,0
1,555.9,13,5,0
0,302.17,10,3,1
1,194.1,5,5,1
1,216.74,3,4,1
0,260.69,2,5,1
0,258.99,11,6,0
0,38.27,12,6,0
1,298.89,5,3,0
0,387.73,1,4,1
0,201.25,14,4,1
1,331.8,7,1,1
1,572.04,13,3,1
0,317.45,17,2,1
1,3.19,20,5,1
0,218.14,17,6,0
0,593.59,19,6,1
1,66.34,20,2,1
0,354.07,7,5,0
0,214.98,19,4,1
1,456.84,18,5,1
0,65.7,13,6,1
0,124.18,7,2,0
1,521.22,10,1,0
0,56.81,8,6,1
0,459.84,10,1,0
0,7.2,5,4,0
1,395.69,15,3,1
1,233.11,16,5,1
1,418.86,13,5,0
1,226.98,11,4,0
0,78.25,14,5,0
1,525.59,7,2,0
1,15.28,7,4,1
0,139.5,20,1,0
0,264.01,7,2,0
0,15.91,12,6,0
1,82.53,8,4,1
0,308.55,13,2,0
1,256.73,20,5,1
0,436.44,19,4,0
0,551.33,3,5,0
0,512.16,15,5,1
1,153.7,12,4,1
0,359.15,1,6,1
1,333.02,17,6,0
1,36.16,2,2,1
1,57.77,9,4,1
1,169.27,6,4,1
0,378.82,16,4,0
1,269.82,10,1,0
0,197.1,8,2,0
0,402.13,15,1,1
1,22.14,18,4,0
1,187.08,19,4,0
0,64.19,4,5,0
0,66.33,5,3,0
1,150.58,20,1,1
1,396.9,11,6,1
1,428.9,1,1,1
1,543.73,9,5,1
0,293.16,2,4,1
0,485.45,18,1,1
1,41.28,19,5,0
0,237.88,8,5,0
1,201.22,8,5,0
1,120.5,5,3,0
1,112.3,5,4,1
0,95.2,2,3,0
1,78.5,6,2,1
0,134.8,1,5,0
1,102.7,8,4,1
0,89.1,3,2,0
1,120.6,4,5,1
0,150.2,7,6,0
1,98.3,2,3,1
0,110,5,4,0
1,123.4,6,5,1
0,105.7,8,3,0
1,115.9,4,2,1
0,130.2,5,6,0
1,97.8,3,4,1
0,112,2,5,0
1,108.4,7,3,1
0,145.6,1,4,0
1,90.5,4,2,1
0,122.3,5,6,0
1,113.7,3,5,1
0,99.2,8,2,0
1,140.8,4,4,1
0,85.6,6,5,0
1,102.1,2,6,1
0,125.4,7,3,0
1,135,1,4,1
0,118.7,4,5,0
1,104.5,5,6,1
0,93.9,3,2,0
1,127.6,6,5,1
0,111.2,2,4,0
1,138.9,8,3,1
0,101.3,4,5,0
1,124.5,5,6,1
0,116.8,7,2,0
1,92.1,3,4,1
0,132.4,4,5,0
1,109.5,6,2,1
0,147.6,1,3,0
1,88.2,7,4,1
0,104.7,5,6,0
1,126.3,2,5,1
0,114.9,3,4,0
1,93.8,6,5,1
0,120.1,8,6,0
1,133.4,4,2,1
0,107.5,5,3,0
1,148.6,2,4,1
0,90.7,7,5,0
1,100.9,6,6,1
0,123.2,3,4,0
1,130.5,8,5,1
0,111,4,6,0
1,136.7,5,3,1
0,105.3,1,4,0
1,119.4,7,2,1
0,86.9,4,5,0
1,145,6,6,1
0,102.7,2,3,0
1,123.8,8,4,1
0,117.5,3,5,0
1,94.6,4,6,1
0,132.2,5,2,0
1,108.9,7,3,1
0,141.4,1,5,0
1,98.2,6,4,1
0,109.7,4,2,0
1,121.5,5,3,1
0,126,8,5,0
1,93.5,7,6,1
1,112.3,5,4,1
0,95.2,2,3,0
1,78.5,6,2,1
0,134.8,1,5,0
1,102.7,8,4,1
0,89.1,3,2,0
1,120.6,4,5,1
0,150.2,7,6,0
1,98.3,2,3,1
0,110,5,4,0
1,123.4,6,5,1
0,105.7,8,3,0
1,115.9,4,2,1
0,130.2,5,6,0
1,97.8,3,4,1
0,112,2,5,0
1,108.4,7,3,1
