WordID;TurkishWord;EnglishWord;Category;Difficulty
1;Abi;Older brother;1;2
2;Abla;Older sister;1;2
3;Acaba;I wonder;2;3
4;Acı;Pain, bitter, spicy;2;2
5;Açık;Open;3;2
6;Acıkmak;To be hungry;3;3
7;Acil;Emergency;3;2
8;Açmak;To open;3;2
9;Ad;Name;4;1
10;Adam;Man;1;3
11;Adet;Piece, unit;4;2
12;Adım;Step;4;3
13;Adres;Address;4;2
14;Ağaç;Tree;4;2
15;Ağır;Heavy;4;2
16;Ağız;Mouth;4;2
17;Ağlamak;To cry;2;3
18;Aile;Family;1;2
19;Akıl;Mind;4;2
20;Akıllı;Smart, clever;4;3
21;Akmak;To flow;3;2
22;Akşam;Evening;5;3
23;Alan;Area;3;3
24;Alışmak;To adjust;3;3
25;Alışveriş yapmak;To go shopping;3;6
26;Allah;God;4;2
27;Almak;To take;3;2
28;Altı;Six;6;2
29;Altın;Gold;4;3
30;Altmış;Sixty;6;2
31;Ama;But;7;2
32;Amaç;Purpose;4;2
33;Amca;Uncle (father's brother);1;2
34;An;Moment;5;2
35;Anlam;Meaning;1;3
36;Anlamak;To understand;3;3
37;Anlaşılmak;To be understood;3;4
38;Anlatmak;To explain;3;3
39;Anne;Mother;1;2
40;Apartman;Apartment building;8;4
41;Araba;Car;4;3
42;Araç;Tool, vehicle;4;2
43;Aralık;December;5;3
44;Aramak;To search for, to call (on the phone);3;3
45;Araştırmak;To research;3;4
46;Arı;Bee;4;2
47;Arkadaş;Friend;1;3
48;Armut;Pear;4;2
49;Artık;Anymore (these days);3;2
50;Artmak;To increase;3;2
51;Asıl;Actual;3;2
52;Aşırı;Extreme;3;3
53;Aşk;Romantic love;2;1
54;Asker;Soldier;4;2
55;Asla;Never;7;2
56;Aslında;Actually;7;3
57;At;Horse;4;1
58;Ateş;Fire;4;2
59;Atlamak;To jump;3;3
60;Atmak;To throw;3;2
61;Ay;Moon, month;5;1
62;Ayak;Foot;4;2
63;Ayakkabı;Shoe;4;4
64;Ayı;Bear;4;2
65;Ayırmak;To separate;3;3
66;Ayna;Mirror;4;2
67;Aynı;Similar;7;2
68;Ayrı;Separate;7;2
69;Ayrılmak;To be separated;1;3
70;Az;Little;6;1
71;Baba;Dad;1;2
72;Bacak;Leg;4;2
73;Bağırmak;To shout;3;3
74;Bağlamak;To tie, to connect;3;3
75;Bahçe;Garden;8;2
76;Bakan;Minister (government);4;3
77;Bakış;View;4;2
78;Bakmak;To look;3;2
79;Balık;Fish;4;2
80;Banka;Bank;4;2
81;Bant;Tape, band, strip;4;1
82;Banyo;Bathroom (with a shower or bath);8;2
83;Bardak;Glass (cup);4;2
84;Barış;Peace (not at war);4;2
85;Baş;Head;4;1
86;Başarı;Success;4;3
87;Basit;Basic, simple;7;2
88;Başka;Other;7;2
89;Başkan;President, chairman;4;3
90;Baskı;Pressure;4;2
91;Başlamak;To start;3;3
92;Basmak;To step, to press;3;2
93;Batı;West;5;2
94;Batmak;To sink;3;2
95;Battaniye;Blanket;4;4
96;Bayrak;Flag;4;2
97;Bayram;Holiday;5;3
98;Bazen;Sometimes;7;3
99;Bazı;Some;7;2
100;Bebek;Baby;1;2
101;Bedava;Free;7;3
102;Beden;Body (or clothing size);4;3
103;Beğenmek;To like;3;3
104;Bekâr;Single (not married);1;1
105;Beklemek;To wait;3;3
106;Bel;Waist, lower back;4;1
107;Belediye;Municipality;4;4
108;Belge;Document;4;2
109;Belki;Maybe;7;2
110;Belli;Clear, obvious;7;2
111;Benzemek;To look like;3;3
112;Benzin;Gasoline;4;3
113;Beraber;Together;7;3
114;Beş;Five;6;1
115;Bey;Mr.;4;1
116;Beyaz;White;7;2
117;Beyin;Brain;4;3
118;Bez;Cloth (or diaper);4;1
119;Bıçak;Knife;4;2
120;Biçim;Shape;7;3
121;Bilet;Ticket;4;2
122;Bilgi;Information;4;2
123;Bilgisayar;Computer;4;4
124;Bilim;Science;4;3
125;Bilmek;To know;3;2
126;Bin;Thousand;6;2
127;Bina;Building;8;2
128;Binmek;To ride, to get on (a bus);3;2
129;Bir;One;9;1
130;Bırakmak;To leave something;3;3
131;Biraz;A little;7;2
132;Birçok;A lot;7;2
133;Biri;Someone, one of them;9;2
134;Birinci;First;7;3
135;Birisi;Someone;9;3
136;Birkaç;A few;7;2
137;Birlikte;Together;7;3
138;Bitirmek;To finish (something);3;3
139;Bitki;Plant;4;2
140;Bitmek;To be finished;3;2
141;Böcek;Bug;4;2
142;Boğaz;Throat;8;2
143;Bölge;Region;8;2
144;Bölmek;To divide;3;2
145;Bölüm;Division, chapter;8;3
146;Boru;Pipe;4;2
147;Boş;Empty;7;1
148;Boşaltmak;To empty (something);3;3
149;Boşanmak;To get divorced;3;3
150;Boy;Size;4;1
151;Boyamak;To paint, to dye (something);3;3
152;Boyun;Neck;4;3
153;Bozuk;Broken (stopped working);7;2
154;Bozulmak;To be broken (stop working);3;3
155;Bugün;Today;5;3
156;Bulmak;To find;3;2
157;Buluşmak;To meet up with;3;3
158;Burada;Here, at/in this place;8;3
159;Burası;This place;8;3
160;Burun;Nose;4;3
161;Bütün;All, entire;7;3
162;Büyük;Big;7;2
163;Büyümek;To grow (bigger);3;3
164;Çabuk;Quick;7;2
165;Cadde;Street;8;2
166;Çağırmak;To invite, to call;3;3
