WordID;TurkishWord;EnglishWord;Category;Difficulty
1;Abi;Older brother;Family_Relationships;2
2;Abla;Older sister;Family_Relationships;2
3;Acaba;I wonder;Feelings_Emotions;3
4;Acı;Pain, bitter, spicy;Feelings_Emotions;2
5;Açık;Open;Actions_Activities;2
6;Acıkmak;To be hungry;Actions_Activities;3
7;Acil;Emergency;Actions_Activities;2
8;Açmak;To open;Actions_Activities;2
9;Ad;Name;Objects_Things;1
10;Adam;Man;Family_Relationships;3
11;Adet;Piece, unit;Objects_Things;2
12;Adım;Step;Objects_Things;3
13;Adres;Address;Objects_Things;2
14;Ağaç;Tree;Objects_Things;2
15;Ağır;Heavy;Objects_Things;2
16;Ağız;Mouth;Objects_Things;2
17;Ağlamak;To cry;Feelings_Emotions;3
18;Aile;Family;Family_Relationships;2
19;Akıl;Mind;Objects_Things;2
20;Akıllı;Smart, clever;Objects_Things;3
21;Akmak;To flow;Actions_Activities;2
22;Akşam;Evening;Time_Calendar;3
23;Alan;Area;Actions_Activities;3
24;Alışmak;To adjust;Actions_Activities;3
25;Alışveriş yapmak;To go shopping;Actions_Activities;6
26;Allah;God;Objects_Things;2
27;Almak;To take;Actions_Activities;2
28;Altı;Six;Numbers;2
29;Altın;Gold;Objects_Things;3
30;Altmış;Sixty;Numbers;2
31;Ama;But;Adjectives;2
32;Amaç;Purpose;Objects_Things;2
33;Amca;Uncle (father's brother);Family_Relationships;2
34;An;Moment;Time_Calendar;2
35;Anlam;Meaning;Family_Relationships;3
36;Anlamak;To understand;Actions_Activities;3
37;Anlaşılmak;To be understood;Actions_Activities;4
38;Anlatmak;To explain;Actions_Activities;3
39;Anne;Mother;Family_Relationships;2
40;Apartman;Apartment building;Places_Locations;4
41;Araba;Car;Objects_Things;3
42;Araç;Tool, vehicle;Objects_Things;2
43;Aralık;December;Time_Calendar;3
44;Aramak;To search for, to call (on the phone);Actions_Activities;3
45;Araştırmak;To research;Actions_Activities;4
46;Arı;Bee;Objects_Things;2
47;Arkadaş;Friend;Family_Relationships;3
48;Armut;Pear;Objects_Things;2
49;Artık;Anymore (these days);Actions_Activities;2
50;Artmak;To increase;Actions_Activities;2
51;Asıl;Actual;Actions_Activities;2
52;Aşırı;Extreme;Actions_Activities;3
53;Aşk;Romantic love;Feelings_Emotions;1
54;Asker;Soldier;Objects_Things;2
55;Asla;Never;Adjectives;2
56;Aslında;Actually;Adjectives;3
57;At;Horse;Objects_Things;1
58;Ateş;Fire;Objects_Things;2
59;Atlamak;To jump;Actions_Activities;3
60;Atmak;To throw;Actions_Activities;2
61;Ay;Moon, month;Time_Calendar;1
62;Ayak;Foot;Objects_Things;2
63;Ayakkabı;Shoe;Objects_Things;4
64;Ayı;Bear;Objects_Things;2
65;Ayırmak;To separate;Actions_Activities;3
66;Ayna;Mirror;Objects_Things;2
67;Aynı;Similar;Adjectives;2
68;Ayrı;Separate;Adjectives;2
69;Ayrılmak;To be separated;Family_Relationships;3
70;Az;Little;Numbers;1
71;Baba;Dad;Family_Relationships;2
72;Bacak;Leg;Objects_Things;2
73;Bağırmak;To shout;Actions_Activities;3
74;Bağlamak;To tie, to connect;Actions_Activities;3
75;Bahçe;Garden;Places_Locations;2
76;Bakan;Minister (government);Objects_Things;3
77;Bakış;View;Objects_Things;2
78;Bakmak;To look;Actions_Activities;2
79;Balık;Fish;Objects_Things;2
80;Banka;Bank;Objects_Things;2
81;Bant;Tape, band, strip;Objects_Things;1
82;Banyo;Bathroom (with a shower or bath);Places_Locations;2
83;Bardak;Glass (cup);Objects_Things;2
84;Barış;Peace (not at war);Objects_Things;2
85;Baş;Head;Objects_Things;1
86;Başarı;Success;Objects_Things;3
87;Basit;Basic, simple;Adjectives;2
88;Başka;Other;Adjectives;2
89;Başkan;President, chairman;Objects_Things;3
90;Baskı;Pressure;Objects_Things;2
91;Başlamak;To start;Actions_Activities;3
92;Basmak;To step, to press;Actions_Activities;2
93;Batı;West;Time_Calendar;2
94;Batmak;To sink;Actions_Activities;2
95;Battaniye;Blanket;Objects_Things;4
96;Bayrak;Flag;Objects_Things;2
97;Bayram;Holiday;Time_Calendar;3
98;Bazen;Sometimes;Adjectives;3
99;Bazı;Some;Adjectives;2
100;Bebek;Baby;Family_Relationships;2
101;Bedava;Free;Adjectives;3
102;Beden;Body (or clothing size);Objects_Things;3
103;Beğenmek;To like;Actions_Activities;3
104;Bekâr;Single (not married);Family_Relationships;1
105;Beklemek;To wait;Actions_Activities;3
106;Bel;Waist, lower back;Objects_Things;1
107;Belediye;Municipality;Objects_Things;4
108;Belge;Document;Objects_Things;2
109;Belki;Maybe;Adjectives;2
110;Belli;Clear, obvious;Adjectives;2
111;Benzemek;To look like;Actions_Activities;3
112;Benzin;Gasoline;Objects_Things;3
113;Beraber;Together;Adjectives;3
114;Beş;Five;Numbers;1
115;Bey;Mr.;Objects_Things;1
116;Beyaz;White;Adjectives;2
117;Beyin;Brain;Objects_Things;3
118;Bez;Cloth (or diaper);Objects_Things;1
119;Bıçak;Knife;Objects_Things;2
120;Biçim;Shape;Adjectives;3
121;Bilet;Ticket;Objects_Things;2
122;Bilgi;Information;Objects_Things;2
123;Bilgisayar;Computer;Objects_Things;4
124;Bilim;Science;Objects_Things;3
125;Bilmek;To know;Actions_Activities;2
126;Bin;Thousand;Numbers;2
127;Bina;Building;Places_Locations;2
128;Binmek;To ride, to get on (a bus);Actions_Activities;2
129;Bir;One;Question_Words;1
130;Bırakmak;To leave something;Actions_Activities;3
131;Biraz;A little;Adjectives;2
132;Birçok;A lot;Adjectives;2
133;Biri;Someone, one of them;Question_Words;2
134;Birinci;First;Adjectives;3
135;Birisi;Someone;Question_Words;3
136;Birkaç;A few;Adjectives;2
137;Birlikte;Together;Adjectives;3
138;Bitirmek;To finish (something);Actions_Activities;3
139;Bitki;Plant;Objects_Things;2
140;Bitmek;To be finished;Actions_Activities;2
141;Böcek;Bug;Objects_Things;2
142;Boğaz;Throat;Places_Locations;2
143;Bölge;Region;Places_Locations;2
144;Bölmek;To divide;Actions_Activities;2
145;Bölüm;Division, chapter;Places_Locations;3
146;Boru;Pipe;Objects_Things;2
147;Boş;Empty;Adjectives;1
148;Boşaltmak;To empty (something);Actions_Activities;3
149;Boşanmak;To get divorced;Actions_Activities;3
150;Boy;Size;Objects_Things;1
151;Boyamak;To paint, to dye (something);Actions_Activities;3
152;Boyun;Neck;Objects_Things;3
153;Bozuk;Broken (stopped working);Adjectives;2
154;Bozulmak;To be broken (stop working);Actions_Activities;3
155;Bugün;Today;Time_Calendar;3
156;Bulmak;To find;Actions_Activities;2
157;Buluşmak;To meet up with;Actions_Activities;3
158;Burada;Here, at/in this place;Places_Locations;3
159;Burası;This place;Places_Locations;3
160;Burun;Nose;Objects_Things;3
161;Bütün;All, entire;Adjectives;3
162;Büyük;Big;Adjectives;2
163;Büyümek;To grow (bigger);Actions_Activities;3
164;Çabuk;Quick;Adjectives;2
165;Cadde;Street;Places_Locations;2
166;Çağırmak;To invite, to call;Actions_Activities;3
167;Çalışmak;To work;Actions_Activities;3
168;Çalmak;To steal, to play (an instrument);Actions_Activities;2
169;Cam;Glasses;Objects_Things;2
170;Çamaşır;Laundry;Objects_Things;3
171;Cami;Mosque;Places_Locations;2
172;Can;Life, soul;Objects_Things;2
173;Canlı;Alive, live broadcast;Adjectives;2
174;Çanta;Bag (backpack, purse);Objects_Things;2
175;Çarpmak;To crash;Actions_Activities;2
176;Çarşamba;Wednesday;Time_Calendar;3
177;Çatal;Fork;Objects_Things;2
178;Çay;Tea;Objects_Things;1
179;Çaydanlık;Teapot;Objects_Things;3
180;Çekmek;To pull;Actions_Activities;2
181;Çeşit;Type, variety;Adjectives;2
182;Cevap vermek;To answer;Actions_Activities;4
183;Çevirmek;To flip, to translate something;Actions_Activities;3
184;Çevre;Environment;Places_Locations;2
185;Çeyrek;Quarter (25%);Numbers;2
186;Ceza;Punishment;Objects_Things;2
187;Çiçek;Flower;Objects_Things;2
188;Ciddi;Serious;Adjectives;2
189;Çift;Double;Numbers;1
190;Çiftçi;Farmer;Occupations;2
191;Cihaz;Electronic device;Objects_Things;2
192;Çıkarmak;To take off, to remove;Actions_Activities;3
193;Çıkmak;To leave, climb;Actions_Activities;2
194;Çirkin;Ugly;Adjectives;3
195;Çizgi;Line, drawing;Objects_Things;2
196;Çocuk;Child;Family_Relationships;2
197;Çok;Very, many;Adjectives;1
198;Çorap;Sock;Objects_Things;2
199;Çözmek;To solve, to untie;Actions_Activities;2
200;Çözüm;Resolution;Objects_Things;3
201;Cuma;Friday;Time_Calendar;2
202;Cumartesi;Saturday;Time_Calendar;4
203;Cümle;Sentence;Language_Communication;2
204;Çünkü;Because;Conjunctions;2
205;Dağ;Mountain;Places_Locations;1
206;Daha az;Less;Adverbs;3
207;Daha çok;More;Adverbs;3
208;Daire;Apartment, circle;Places_Locations;2
209;Dakika;Minute;Time_Calendar;3
210;Damla;Drop (of liquid);Objects_Things;2
211;Dans etmek;To dance;Actions_Activities;3
212;Davet etmek;To invite;Actions_Activities;4
213;Davranış;behavior;Actions_Activities;3
214;Davranmak;To behave (in a certain way);Actions_Activities;3
215;Dayanmak;To endure;Actions_Activities;3
216;Defter;Notebook;Objects_Things;2
217;Değer;Value;Objects_Things;2
218;Değil;Not;Conjunctions;2
219;Değişmek;(For something) to change;Actions_Activities;3
220;Değiştirmek;To change (something);Actions_Activities;4
221;Delik;Hole;Objects_Things;2
222;Demek;To say, it means...;Language_Communication;2
223;Denemek;To try;Actions_Activities;3
224;Denge;Balance;Objects_Things;2
225;Deniz;Sea;Places_Locations;2
226;Deprem;Earthquake;Events;3
227;Derece;Degrees (temperature);Numbers;3
228;Deri;Skin;Objects_Things;2
229;Derin;Deep;Adjectives;3
230;Ders;Class;Education;1
231;Destek;Support;Actions_Activities;2
232;Devam etmek;To continue;Actions_Activities;4
233;Devlet;Government;Objects_Things;2
234;Diğer;The other (one);Adjectives;2
235;Dik;Steep;Adjectives;1
236;Dikkat etmek;To be careful;Actions_Activities;4
237;Dil;Tongue (or language);Language_Communication;1
238;Din;Religion;Concepts;2
239;Dinlemek;To listen;Actions_Activities;3
240;Dinlenmek;To rest;Actions_Activities;3
241;Dirilmek;To be resurrected;Actions_Activities;3
242;Diş;Tooth;Objects_Things;1
243;Diz;Knee;Body_Parts;1
244;Doğal;Natural;Adjectives;2
245;Doğal gaz;Natural Gas;Objects_Things;3
